Sno_of_polling_station,KUMAR NAVNEET HIMANSHU,Nilam Devi,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Ajit kumar,Arvind Kumar Sharma,KRISHNA MURARI KUMAR,PANCHANAND SINGH,RAUSHAN KUMAR,VIKASH KUMAR ARYA,SANJAY KESARI,SANTOSH KUMAR,SURYODAY PASWAN,SONELAL KORA,AMARJIT PATEL,UCHIT KUMAR,DINA SAW,PRANAY KUMAR,MAHESH RAM,DR.RAJESH KUMAR RATNAKAR,Total of Valid Votes,No. of rejected votes,NOTA,Total,No.of tendered votes,Margin
53,2,546,144,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,694,0,1,695,0,-402
54,7,520,223,0,1,1,2,2,3,4,1,0,1,4,6,3,4,5,5,792,0,1,793,0,-297
55,0,232,437,1,3,1,1,0,1,1,0,2,1,12,4,9,0,4,3,712,0,3,715,0,205
56,1,35,517,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,3,565,0,5,570,0,482
57,1,34,396,1,1,0,0,1,0,2,0,0,0,0,0,0,1,0,1,438,0,2,440,0,362
58,0,33,318,2,0,0,0,0,0,1,0,0,2,1,1,2,2,0,1,363,0,2,365,0,285
59,1,35,530,2,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,574,0,4,578,0,495
60,2,39,455,2,2,0,0,1,2,7,0,0,1,2,1,1,2,1,7,525,0,1,526,0,416
61,3,38,373,4,1,1,1,1,1,1,0,0,0,4,2,2,1,1,7,441,0,2,443,0,335
62,19,651,91,3,0,0,2,1,0,0,0,1,0,4,6,2,0,8,1,789,0,3,792,0,-560
63,1,71,477,5,1,1,0,0,1,2,2,0,2,7,1,4,0,0,2,577,0,1,578,0,406
64,2,45,421,2,5,4,0,1,0,4,3,1,1,9,1,5,0,2,1,507,0,1,508,0,376
65,2,47,294,2,3,0,0,0,0,3,0,1,2,3,0,0,0,0,1,358,0,3,361,0,247
66,1,51,501,6,7,1,1,0,4,7,5,1,3,7,3,4,1,5,13,621,0,12,633,0,450
67,2,69,479,0,5,2,1,0,3,3,1,0,0,2,1,3,1,1,1,574,0,7,581,0,410
68,5,39,410,3,5,1,1,0,1,2,0,1,1,6,1,3,0,1,4,484,0,2,486,0,371
69,6,64,343,2,2,0,1,0,0,4,0,1,3,1,1,0,1,2,1,432,0,4,436,0,279
70,0,40,291,5,4,0,0,0,5,1,0,1,0,1,1,0,1,0,2,352,0,5,357,0,251
71,0,37,234,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,277,0,6,283,0,197
72,3,59,357,4,3,0,1,3,3,2,0,0,1,1,0,0,1,0,5,443,0,4,447,0,298
73,1,111,283,4,3,0,1,1,2,0,2,3,1,4,2,2,1,3,3,427,0,3,430,0,172
74,1,148,342,1,5,2,1,0,1,5,1,0,2,1,3,6,1,1,2,523,0,2,525,0,194
75,2,394,92,2,2,0,1,1,1,3,0,3,1,8,6,4,1,3,7,531,0,2,533,0,-302
76,1,331,2,2,0,0,0,0,0,0,1,0,1,1,4,0,1,16,0,360,0,1,361,0,-329
77,0,436,4,0,0,0,0,1,0,0,1,0,1,1,11,2,1,9,2,469,0,2,471,0,-432
78,2,78,350,1,6,0,0,1,2,0,0,2,2,2,2,2,3,2,5,460,0,4,464,0,272
79,1,655,2,1,0,0,0,0,0,0,0,0,0,1,5,1,0,2,0,668,0,0,668,0,-653
80,2,586,27,1,1,0,0,0,0,0,0,0,1,0,2,5,0,1,0,626,0,0,626,0,-559
